Perimeter,Area,MinR,MaxR,Major_axis,Minor_axis,Orientation,Convex_hull_perimeter,Convex_hull_area,Aspect ratio,Circularity,Roundness,Area equivalent diameter,Perimeter equivalent diameter,Compactness,Solidity,Concavity,Convexity,Shape,Shape factor,R factor,Modification ratio,Sphericity,Bounding box area,Rectangularity,Eccentricity,Equiv_elipse_area,Max_feret,Min_feret,Elongation,HU1,HU2,HU3,HU4,HU5,HU6,HU7,FD1,FD2,FD3,FD4
"185,44","2448,5","26,68","29,21","57,14",55,"31,93","177,34",2480,"1,04","0,89","0,95","55,83","59,03","7,39","0,99","31,5","0,96","14,04","0,96","0,99","0,93","0,91",3135,"0,78","0,77","9873,32","58,41","55,02","1,06","0,8","4,39","6,17","16,39","11,14","-17,23","8,86","0,45","0,1","0,03","27,93"
"210,99",3147,"29,73","33,7","66,36","60,67","53,61","201,19","3189,5","1,09","0,89","0,91","63,3","67,16","7,77","0,99","42,5","0,95","14,15","0,97","0,97","0,9","0,88",4095,"0,77","0,73","12648,58","67,36","61,8","1,09","0,8","3,7","5,17","-14,98","-10,12","-15,11","8,2","1,1","0,91","0,34","31,6"
"193,58","2669,5","27,51","30,57","59,91","56,78","10,42","185,3",2709,"1,06","0,9","0,95","58,3","61,62","7,53","0,99","39,5","0,96","14,04","0,95","0,98","0,92","0,9",3538,"0,75","0,77","10686,09","61,1","57,69","1,06","0,8","4,18","5,24","16,36","-11,03","-15,21","8,39","0,59","0,22","0,02","29,16"
"180,85",2313,"25,96","28,24","55,57","53,43","4,37","172,68","2348,5","1,04","0,89","0,95","54,27","57,57","7,28","0,98","35,5","0,95","14,14","0,96","0,99","0,93","0,92",2915,"0,79","0,92","9328,95","56,3","54,08","1,04","0,8","4,48","4,84","-14,56","-10,33","15,07","8,08","0,4","0,42","0,13","27,15"
"183,92","2345,5","23,77","30,1","59,98","49,86","154,31","175,19","2384,5","1,2","0,87","0,83","54,65","58,54","7,06","0,98",39,"0,95","14,42","0,96","0,93","0,79","0,79",2915,"0,8","0,74","9395,52","59,93","49,44","1,21","0,79","3,09","4,68","-12,59","-8,51","-12,57","6,73","1,79","0,45","0,19","27,37"
"199,92","2857,5","28,64","31,33","62,04","59,09","69,32","191,58",2893,"1,05","0,9","0,95","60,32","63,64","7,66","0,99","35,5","0,96","13,99","0,95","0,98","0,92","0,91",3658,"0,78","0,83","11517,31","62,65","59,13","1,06","0,8","4,16","5,37","-15,1","-10,49","15,01","8,14","0,57","0,23","0,04","30,18"
"198,75","2821,5","27,89","31,61","62,58","57,74","74,66","190,45",2857,"1,08","0,9","0,92","59,94","63,26","7,58","0,99","35,5","0,96",14,"0,93","0,97","0,89","0,88",3477,"0,81","0,85","11351,35","63,16","57,7","1,09","0,8","3,72","5,32","15,3","10,18","14,7","8,02","1,01","0,25","0,02","29,99"
"166,85",1970,"23,02","27,83","53,63","47,04","160,83","160,21",1999,"1,14","0,89","0,87","50,08","53,11","6,84","0,99",29,"0,96","14,13","0,89","0,95","0,86","0,83",2592,"0,76","0,58","7926,51","55,66","48,3","1,15","0,79","3,31","4,39","11,99","8,19","12,68","6,53","1,29","0,6","0,08","25,09"
"203,24","2963,5","29,27","31,94","63,28","59,83","83,03","195,01",2998,"1,06","0,9","0,94","61,43","64,69","7,72","0,99","34,5","0,96","13,94","0,95","0,98","0,93","0,92",3904,"0,76","0,8","11894,13","63,69","60,46","1,05","0,8","4,14","8,67","-19,89","12,77","-19,88","10,26","0,61","0,03","0,11","30,72"
"187,92","2512,5","25,32","30,85","61,28","52,35","12,55","180,15","2543,5","1,17","0,89","0,85","56,56","59,82","7,23","0,99",31,"0,96","14,06","0,87","0,94","0,83","0,82",3120,"0,81","0,49","10078,71","61,68","52,87","1,17","0,79","3,23","6,02","15,68","10,18","-15,37","8,21","0,95","0,23","0,15","28,12"
"193,1","2661,5","26,83","32,04","63,48","54,25","140,24","185,87",2691,"1,17","0,9","0,84","58,21","61,46","7,31","0,99","29,5","0,96","14,01","0,98","0,93","0,85","0,84",3422,"0,78","0,65","10818,04","63,89","54,92","1,16","0,79","3,24","4,86","-13,56",-9,"13,37","7,24","1,67","0,44","0,18","29,14"
"201,34",2884,"28,79","32,35","63,05","58,54","42,15","192,59","2921,5","1,08","0,89","0,92","60,6","64,09","7,63","0,99","37,5","0,96","14,06","0,97","0,97","0,91","0,89",3480,"0,83","0,73","11595,28","64,66","59,79","1,08","0,8","3,84","5,24","14,14","9,62","14,77","7,67","0,91","0,27","0,05","30,33"
"187,92","2511,5","26,68","29,56","58,63","54,71","7,4","179,59","2547,5","1,07","0,89","0,93","56,55","59,82","7,39","0,99",36,"0,96","14,06","0,93","0,97","0,91","0,9",3245,"0,77","0,72","10078,33","59,09","55,66","1,06","0,8","3,98","5,76","16,2","10,89","16,6","8,86","0,57","0,49","1,16","28,12"
"189,68",2566,"26,57","30,21","60,14","54,71","99,42","181,9",2600,"1,1","0,9","0,9","57,16","60,38","7,37","0,99",34,"0,96","14,02","0,92","0,96","0,88","0,88",3300,"0,78","0,67","10337,37","60,42","54,91","1,1","0,8","3,66","5,19","-15,48","12,79","14,41","7,88","1,02","0,25","0,1","28,62"
"206,51",3042,29,"33,45","65,6","59,68","35,76","198,21",3076,"1,1","0,9","0,9","62,23","65,73","7,68","0,99",34,"0,96","14,02","0,94","0,96","0,88","0,87",3840,"0,79","0,69","12298,5","66,85","60,08","1,11","0,8","3,61","5,23","14,59","11,5","-14,06","7,62","1,18","0,27",0,"31,14"
"182,27","2376,5","25,81","29,54","57,47","53,1","157,66","175,4",2405,"1,08","0,9","0,92","55,01","58,02","7,26","0,99","28,5","0,96","13,98","0,95","0,97","0,9","0,87",3078,"0,77","0,73","9586,76","59,08","53,6","1,1","0,8","3,75","4,91","13,78","9,5","-14,35","7,54","0,92","0,34","0,13","27,5"
"192,51",2637,"26,93","31,19","61,73","54,54","175,74","184,54",2670,"1,13","0,89","0,88","57,94","61,28","7,38","0,99",33,"0,96","14,05","0,89","0,95","0,87","0,86",3410,"0,77","0,7","10576,91","62,37","58,24","1,07","0,79","3,42","5,22","14,06","9,36","14,04","7,53","1,17","1,23","2,55","28,58"
"199,58","2821,5","28,46","31,58","61,64","58,44","158,05","190,41",2858,"1,05","0,89","0,95","59,94","63,53","7,63","0,99","36,5","0,95","14,12","0,95","0,98","0,92","0,9",3658,"0,77","0,85","11317,44","63,16","59,12","1,07","0,8","4,09","4,92","-15,5","-10,69","15,37","8,54","0,32","0,57","3,17","29,51"
"206,17",3035,"28,84","33,5","66,32","58,71","138,54","197,79","3071,5","1,13","0,9","0,88","62,16","65,62","7,63","0,99","36,5","0,96",14,"0,97","0,95","0,87","0,86",3720,"0,82","0,69","12232,14","67,01","59,35","1,13","0,79","3,44","5,17","13,7","9,13","14,45","7,41","0,17","0,19","1,19","30,85"
"197,92","2703,5","24,19","34,53","69,09","50,03","9,81","189,81",2739,"1,38","0,87","0,72","58,67",63,"7,06","0,99","35,5","0,96","14,49","0,74","0,87","0,7","0,7",3519,"0,77","0,36","10859,35","69,05","51,25","1,35","0,78","2,56","6,44","-15,4","-9,4","16,77","8,12","4,13","0,34","1,28","29,36"
"178,51",2276,25,"28,76","57,07","51,29","120,96","171,57","2306,5","1,11","0,9","0,89","53,83","56,82","7,13","0,99","30,5","0,96",14,"0,95","0,96","0,88","0,87",2968,"0,77","0,57","9195,77","57,38","51,2","1,12","0,8","3,61","4,81","-13,6","-9,36","-13,66","7,38","0,97","0,41","0,14","26,96"
"194,75","2723,5",28,"30,61","60,6","57,53","90,97","186,98","2754,5","1,05","0,9","0,94","58,89","61,99","7,56","0,99",31,"0,96","13,93","0,97","0,98","0,92","0,91",3480,"0,78","0,79","10953,38",61,"58,05","1,05","0,8","4,17","5,82","16,41","11,13","16,29","8,85","0,56","0,11","0,18","29,46"
"181,68",2318,"23,35","30,91","61,63","48,06","169,61","174,46",2346,"1,28","0,88","0,78","54,33","57,83","6,92","0,99",28,"0,96","14,24","0,79","0,9","0,76","0,76",3038,"0,76","0,46","9305,13","61,81","51,31","1,2","0,78","2,79","4,82","-12,85","-8,46","-12,38","6,63","2,57","0,34","0,11","27,25"
"187,92","2459,5","24,33","31,76","62,06","50,65","0,23","179,67",2494,"1,23","0,88","0,81","55,96","59,82","7,1","0,99","34,5","0,96","14,36","0,8","0,92","0,78","0,77",3264,"0,75","0,58","9875,52","63,51","51,9","1,22","0,79","2,92","4,64","13,09","-9,05","-12,1","6,52","2,35","0,51","0,04","28,08"
"214,75","3269,5","29,83","34,86","67,85","61,81","136,58","206,39","3316,5","1,1","0,89","0,9","64,52","68,36","7,83","0,99",47,"0,96","14,11","0,98","0,97","0,88","0,86",4160,"0,79","0,71","13175,14","69,35","62,68","1,11","0,8","3,65","4,92","13,7","9,39","14,36","7,48","1,06","0,38","0,07","32,28"
"203,34",2923,"27,73","33,2","65,42","57,49","35,91","195,19","2961,5","1,14","0,89","0,87","61,01","64,72","7,54","0,99","38,5","0,96","14,15","0,94","0,95","0,85","0,84",3717,"0,79","0,71","11815,16","66,4","57,72","1,15","0,79","3,33","4,9","13,6",10,"-13,04","7,05","2,39","0,48","5,5","29,25"
"181,92","2357,5","25,81","28,93","56,86","52,85","168,79","174,09",2390,"1,08","0,9","0,93","54,79","57,91","7,27","0,99","32,5","0,96","14,04","0,95","0,97","0,91","0,89",3078,"0,77","0,73","9440,55","57,78","53,68","1,08","0,8","3,86","5,77","15,75","10,6","15,87","8,51","0,76","0,13","0,07","27,39"
"204,75","2911,5","26,25","35,05","69,66","53,3","169,46","196,01","2952,5","1,31","0,87","0,76","60,89","65,17","7,29","0,99",41,"0,96","14,4","0,78","0,9","0,75","0,75",3726,"0,78","0,45","11664,2","70,09","54,07","1,3","0,78","2,74","5,24","14,1","10,5","13,07","6,96","3,01","0,26","0,16","30,55"
"184,85",2435,"26,08","28,97","57,06","54,57","175,04","177,23",2473,"1,05","0,9","0,95","55,68","58,84","7,37","0,98",38,"0,96","14,03","0,95","0,99","0,91","0,9",3078,"0,79","0,95","9782,74","57,8","54,87","1,05","0,8","4,35","6,4","16,69","-11,29","-17,47","8,99","0,4","0,07","0,12","27,85"
"204,75","2996,5","29,73","31,89","62,2","61,82","124,65","196,12","3030,5","1,01","0,9","0,99","61,77","65,17","7,83","0,99",34,"0,96","13,99","0,97",1,"0,96","0,93",3843,"0,78","0,91","12080,85","63,41","59,8","1,06","0,8","5,32","5,08","16,22","-11,57","15,16","8,41","0,23","0,36","0,04","30,89"
"192,75","2641,5","27,86","30,01","58,36","57,69","87,41","184,24","2677,5","1,01","0,89","0,99","57,99","61,35","7,59","0,99",36,"0,96","14,07","0,98",1,"0,95","0,93",3422,"0,77","0,88","10577,54","59,64","57,87","1,03","0,8","5,58","5,22","-18,56","-13,4","-18,77","10,59","0,12","0,26","0,11",29
"174,71",2180,"24,74","27,84","54,29","52,85","149,8","168,23","2205,5","1,03","0,9","0,94","52,68","55,61","7,15","0,99","25,5","0,96",14,"0,96","0,99","0,91","0,89",2703,"0,81","0,9",9014,"55,61","52,56","1,06","0,8","4,56","4,75","-13,31","-9,88","-13,27","7,18","0,36","0,39","0,08","26,36"
"208,75","3108,5","29,41","33,62","66,26","60,27","59,15","200,15","3145,5","1,1","0,9","0,9","62,91","66,45","7,73","0,99",37,"0,96","14,02","0,94","0,96","0,89","0,87",3965,"0,78","0,91","12545,46","67,2","60,88","1,1","0,8","3,58","5,01","13,99","9,48","-14,8","7,65","1,19","0,36","0,04","31,48"
"179,44","2257,5","24,35","28,66","56,25","51,91","157,45","171,51","2294,5","1,08","0,88","0,91","53,61","57,12","7,15","0,98",37,"0,96","14,26","0,91","0,97","0,87","0,85",2964,"0,76","0,69","9173,55","57,14","51,13","1,12","0,79","3,62","4,38","13,51","9,12","12,37","6,78","0,98","0,67","0,17","26,84"
"197,34",2800,28,"31,8","62,18","57,6","113,6","189,94",2831,"1,08","0,9","0,92","59,71","62,81","7,57","0,99",31,"0,96","13,91","0,94","0,97","0,9","0,88",3596,"0,78","0,84","11252,61","63,57","59,03","1,08","0,8","3,83","5,11","15,16","-10,96","-14,71","8,09","0,86","0,27","0,07","29,87"
"158,95","1786,5","21,84","25,83","50,73","45,33","93,49","152,21","1815,5","1,12","0,89","0,88","47,69","50,6","6,7","0,98",29,"0,96","14,14","0,88","0,95","0,86","0,85",2295,"0,78","0,49","7225,64","50,92","46,09","1,1","0,8","3,57","5,18","14,53","9,78","14,93","7,94","0,91","0,27","0,02","23,86"
"149,78","1595,5","20,62","24,53","47,67",43,"168,4","144,01",1618,"1,11","0,89","0,89","45,07","47,68","6,53","0,99","22,5","0,96","14,06","0,9","0,96","0,86","0,84",2156,"0,74","0,51","6440,52","49,03","43,9","1,12","0,79","3,46","4,5","12,38","8,48","-13,28","6,75","2,39","0,61","2,1","22,28"
"121,15","1058,5","17,2","19,42","38,28","35,67","40,99","117,02","1074,5","1,07","0,91","0,92","36,71","38,56","5,93","0,99",16,"0,97","13,87",1,"0,97","0,9","0,89",1369,"0,77","0,68","4289,53","38,83","36,33","1,07","0,8","3,93","6,04","17,71","11,91","18,65","9,79","0,43","0,06","0,05","18,38"
"143,3","1469,5",20,"23,05","45,77","41,63","10,32","138,24","1489,5","1,1","0,9","0,89","43,26","45,61","6,39","0,99",20,"0,96","13,97","0,91","0,96","0,87","0,87",1932,"0,76","0,7","5986,43","46,1","42,06","1,1","0,8","3,53","5,77","-15,23","-9,95","15,06","8,06","2,66","1,62","2,68","20,92"
"143,3","1459,5","19,7","23,04","45,48","41,26","88,67","137,83",1483,"1,1","0,89","0,9","43,11","45,61","6,39","0,98","23,5","0,96","14,07","0,91","0,96","0,87","0,85",1845,"0,79","0,83","5894,7","45,88","41,18","1,11","0,79","3,62","4,66","-12,97","-9,01","12,78","6,92","0,77","0,36","0,16","21,58"
"157,3","1746,5",21,"26,2","51,74","43,34","167,3","150,8","1771,5","1,19","0,89","0,83","47,16","50,07","6,56","0,99",25,"0,96","14,17","0,84","0,93","0,81","0,8",2193,"0,8","0,46","7045,7","52,39","43,73","1,2","0,79","3,11","5,59","-14,92","-9,84","-14,76","7,92","1,54","0,16","0,04","23,62"
"145,88",1494,"20,59","23,02","44,24","43,05","23,77","139,25","1519,5","1,03","0,88","0,97","43,61","46,44","6,56","0,98","25,5","0,95","14,24","0,98",1,"0,93","0,89",1980,"0,75","0,69","5982,34","45,61","43,9","1,04","0,8","4,76","4,44","15,82","11,79","16,05","9,02","0,23","0,46","0,05","21,81"
"154,37",1688,"20,88","25,41","49,97","43,29","134,98","148,46",1713,"1,15","0,89","0,86","46,36","49,14","6,56","0,99",25,"0,96","14,12","0,96","0,95","0,84","0,82",2208,"0,76","0,77","6796,12","50,8","45,54","1,12","0,79","3,23","4,48","13,04","-10,51","12,23","6,66","1,17","1,07","1,12","22,96"
"128,23",1186,"18,44","20,41","39,84","38,29","23,64","123,83",1203,"1,04","0,91","0,95","38,86","40,82","6,16","0,99",17,"0,97","13,86","0,97","0,99","0,93","0,9",1560,"0,76","0,53","4792,18","40,82","38,6","1,06","0,8","4,38","5,78","-16,77","-11,57","16,91","9,19","0,49","0,42","2,7",19
"143,64","1458,5","19,92","22,78","44,41","42,3","71,26","137,49","1484,5","1,05","0,89","0,94","43,09","45,72","6,47","0,98",26,"0,96","14,15","0,93","0,99","0,9","0,87",1890,"0,77","0,92","5901,75","45,45","42,2","1,08","0,8","4,04","5,86","-15,8","-11,1","16,11","8,55","0,54","0,12","0,13","21,57"
"154,37",1710,"22,2","24,28","47,69","46,04","140,56","148,5",1734,"1,04","0,9","0,96","46,66","49,14","6,76","0,99",24,"0,96","13,94","0,98","0,99","0,93","0,91",2162,"0,79","0,65","6897,5","48,55","46,51","1,04","0,8","4,45","5,65","-15,92","-11,02","-16,28","8,7","0,3","0,16","0,07","23,35"
"143,88",1472,20,"23,29","45,62","41,19","9,49","138,18","1493,5","1,11","0,89","0,9","43,29","45,8","6,41","0,99","21,5","0,96","14,06","0,91","0,96","0,88","0,86",1932,"0,76","0,26","5903,41","46,57","42,06","1,11","0,79","3,58","4,5","12,74","8,78","-14,07","6,99","0,83","0,43","0,07","21,66"
"158,27","1791,5","21,93","25,89","51,04","44,95","160,83","152,3",1814,"1,14","0,9","0,88","47,76","50,38","6,68","0,99","22,5","0,96","13,98","0,9","0,95","0,86","0,85",2444,"0,73","0,64","7208,17","51,79","45,45","1,14","0,79","3,41","5,31","14,35","9,95","-14,06","7,57","1,31","0,39","0,85","23,81"
"157,54",1791,"22,36","25,3","49,81","46,17","121,09","152,02","1813,5","1,08","0,91","0,92","47,75","50,15","6,77","0,99","22,5","0,96","13,86","0,94","0,97","0,9","0,88",2254,"0,79","0,6","7225,25","50,61",47,"1,08","0,8","3,85","5,98","16,74","11,34","-16,76","9,07","0,66","0,08","0,12","23,91"
"144,81","1437,5",17,"25,83","51,78","36,21","10,05","140,16","1455,5","1,43","0,86","0,68","42,78","46,09","5,95","0,99",18,"0,97","14,59","0,71","0,86","0,66","0,66",1836,"0,78","0,28","5890,27","51,66","36,37","1,42","0,77","2,45","5,37","12,86","8,03","13,85","6,78","2,93","0,13","0,1","21,54"
"154,95","1727,5","22,14","24,65","48,56","45,55","27,35","149,06",1750,"1,07","0,9","0,93","46,9","49,32","6,73","0,99","22,5","0,96","13,9","0,98","0,98","0,91","0,9",2256,"0,77","0,85","6948,8","49,24","45,84","1,07","0,8","4,04","7,26","18,54","11,95","18,74","9,89","0,51","0,04","0,06","23,47"
"151,88",1632,"19,65","25,5","51,39","41,19","22,1","146,41","1655,5","1,25","0,89","0,79","45,58","48,35","6,36","0,99","23,5","0,96","14,13","0,92","0,91","0,76","0,77",2112,"0,77","0,16","6649,06",51,"42,04","1,21","0,79","3,04","4,55","-12,19","-8,1","-12,34","6,55","1,54","0,43","0,11","22,81"
"171,78","2052,5",22,"29,35","57,26","45,91","6,79","164,84","2083,5","1,25","0,87","0,8","51,12","54,68","6,76","0,99",31,"0,96","14,38","0,79","0,92","0,77","0,75",2668,"0,77","0,34","8259,47","58,69","44,86","1,31","0,79","2,88","6,01","14,38","9,19","14,1","7,36","2,24","0,1","0,16","25,62"
"170,02",2059,"23,41","27,26","54,38","48,28","108,77","163,05","2087,5","1,13","0,9","0,89","51,2","54,12","6,94","0,99","28,5","0,96","14,04","0,91","0,95","0,86","0,86",2646,"0,78","0,81","8247,82","54,42","48,75","1,12","0,8","3,49","5,36","-14,4","-9,58","14,72","7,79","0,77","0,31","0,9","25,41"
"160,95","1852,5","22,8","25,97","51,06","46,81","128,87","154,82","1875,5","1,09","0,9","0,9","48,57","51,23","6,8","0,99",23,"0,96","13,98","0,96","0,97","0,89","0,88",2400,"0,77","0,94","7509,17","51,86","47,43","1,09","0,8","3,69","5,06","15,9","-10,69","14,76","8,15","2,08","0,72","2,14","24,05"
"136,57",1306,19,"21,51","41,61","40,6","142,76","130,59","1332,5","1,02","0,88","0,96","40,78","43,47","6,32","0,98","26,5","0,96","14,28",1,1,"0,91","0,88",1681,"0,78","0,67","5307,55","43,01","40,16","1,07","0,8","4,55","5,45","-15,74","-10,83","-15,32","8,38","0,56","0,27","1,94","20,19"
"183,1","2406,5","25,81","29,35","57,81","53,22","168,01","176,32","2434,5","1,09","0,9","0,92","55,35","58,28","7,28","0,99",28,"0,96","13,93","0,93","0,97","0,89","0,88",3132,"0,77","0,86","9665,09","58,69","53,4","1,1","0,8","3,77","5,51","-15,39","-10,09","-14,93","8,1","1,33","0,8",1,"27,5"
"150,23",1586,"20,88","24,09","47,67","43,25","88,61","144,12",1615,"1,1","0,88","0,89","44,94","47,82","6,51","0,98",29,"0,96","14,23","0,96","0,96","0,88","0,87",2024,"0,78","0,68","6478,04","47,89","43,64","1,1","0,8","3,9","5,26","14,26","10,32","13,84","7,46","0,56","0,15","0,15","22,48"
"164,12","1880,5",21,"27,06","53,49","46,1","5,44","157,67",1912,"1,16","0,88","0,84","48,93","52,24","6,69","0,98","31,5","0,96","14,32","0,83","0,94","0,79","0,78",2430,"0,77","0,76",7746,"54,13","45,35","1,19","0,79","3,04","4,01","-10,92","-7,46","-11,75","5,94","2,91","0,96","0,36","24,67"
"157,78","1772,5","21,38","26,74","52,03","43,57","158,69","152,07","1796,5","1,19","0,89","0,83","47,51","50,22","6,59","0,99",24,"0,96","14,05","0,86","0,93","0,82","0,8",2244,"0,79","0,79","7121,57","53,49","44,63","1,2","0,79","3,08","5,15","13,25","8,69","-13,61","7,09","1,63","0,47","2,23","23,33"
"162,61","1886,5","22,56","26,48","52,09","46,29","5,4","156,08",1912,"1,13","0,9","0,89","49,01","51,76","6,79","0,99","25,5","0,96","14,02","0,89","0,95","0,87","0,85",2491,"0,76","0,27","7575,84","52,95","46,81","1,13","0,79","3,44","5,65","-15,01","-9,89","-15,25","8,08","1,11","0,16","0,04","24,53"
"158,71",1775,"21,63","25,36","49,3","46,48","63,11","152,17","1805,5","1,06","0,89","0,93","47,54","50,52","6,77","0,98","30,5","0,96","14,19","0,96","0,98","0,88","0,85",2303,"0,77","0,87","7197,99","50,22","46,24","1,09","0,8","4,01","4,24","-12,81","-9,54","12,82","7,03","0,54","0,67","0,08","23,79"
