Blue mean,Green mean,Red mean,Blue std,Green std,Red std,Hue mean,Saturation mean,Value mean,Hue std,Saturation std,Value std,L mean,a mean,b mean,L std,a std, b std,Class
"150,1385","110,0588","122,7796","15,1257","24,261","25,583","124,4352","73,3127","152,8283","32,9128","29,4573","14,4457","124,9395","142,2201","107,9516","22,7832","5,4379","12,6769",c
"153,2324","106,3922","117,6867","12,7226","27,1412","31,3285","121,1673","83,826","155,9504","33,7246","32,8245","14,4156","121,6662","143,7714","104,028","25,7112","6,0147","14,1266",c
"160,3011","129,0925","137,1684","4,816","17,0061","17,8037","130,501","50,6356","160,7891","17,6031","23,3897","5,1971","142,1279","137,7973","112,3853","15,5464","3,8664","8,4178",c
"159,4967","113,7827","120,5294","4,588","16,1215","16,3136","125,2628","73,6763","159,4967","4,7069","22,778","4,588","127,9905","141,1329","104,2274","14,7268","4,0136","7,7613",c
"160,4841","132,9944","136,5485","3,8984","13,8332","15,6025","123,0574","46,1813","161,2012","24,3051","19,1471","4,4414","144,7025","135,3161","113,8214","12,7436","3,1831","7,3776",c
"158,9479","133,9278","140,5669","3,7686","11,512","11,6673","130,0304","40,6843","159,1589","11,0683","15,6484","3,8944","146,0681","135,7126","115,5891","10,4192","2,8006","5,3775",c
"165,8187","139,088","142,9693","4,3006","13,5506","12,7087","125,0566","42,3319","165,9007","11,6661","19,6545","4,258","150,7164","135,133","114,4085","11,7913","4,3889","6,6432",c
"162,9885","123,0731","134,8935","4,3769","15,6831","16,4794","130,899","62,8816","163,1463","7,8302","21,7025","4,5504","137,8096","141,1471","108,2579","14,3605","3,6309","7,641",c
"155,1452","116,513","120,8296","4,0607","11,3546","11,3955","123,6614","63,9916","155,1455","3,4172","14,7471","4,061","129,4203","138,3529","107,731","10,5184","2,5737","4,811",c
"152,8018","118,6018","127,1398","4,4947","11,6101","11,5617","128,1842","57,3486","152,8224","4,886","15,1584","4,5145","132,1017","138,6752","110,705","10,7424","2,5601","4,7308",c
"145,5673","107,4925","114,2781","6,1728","13,0486","14,3516","125,9579","67,1869","145,5673","3,728","16,4293","6,1728","120,744","139,2325","108,1196","12,746","2,2797","4,9222",c
"159,5219","123,8278","129,8228","3,5677","9,218","9,5449","125,2956","57,4462","159,5222","4,2575","11,6027","3,5675","136,89","138,0666","109,7072","8,4698","2,324","3,9131",c
"161,7333","126,5805","139,5638","4,5265","10,7397","10,0349","131,723","55,5938","161,7543","4,58","13,6068","4,5275","141,0154","140,1785","110,9452","9,7272","2,6338","4,4517",c
"161,9033","137,843","152,8468","3,622","8,5666","8,6503","140,6566","38,6071","162,3569","7,9242","9,9027","4,2315","151,6826","138,2762","117,3579","7,8249","1,8531","3,6516",c
"159,7705","142,9833","154,8745","3,7158","6,6673","7,2111","143,1175","27,9607","160,5657","10,0554","7,2741","4,2928","155,4397","135,6487","120,7117","6,173","1,5486","2,8586",c
"156,1241","128,947","144,5319","3,8017","9,7736","9,9022","138,9717","45,4072","156,7446","8,4512","11,1133","4,8244","143,3127","139,2873","115,5747","8,9848","2,1108","4,1603",c
"159,4101","133,6601","147,4038","3,9542","8,8991","9,7144","137,7509","41,7644","159,7347","7,6253","9,9114","4,3645","147,5063","138,2446","116,1924","8,3624","1,4944","3,6184",c
"161,1482","126,4582","134,8681","4,289","12,3864","12,1297","128,1534","55,1377","161,1534","4,9727","16,1016","4,2936","139,9772","138,6527","110,5751","11,2176","2,7792","5,3343",c
"157,3975","131,7234","145,0999","3,5045","9,5266","9,6119","137,6735","42,3167","157,8187","8,2725","11,7032","4,132","145,4547","138,1399","116,1393","8,6948","2,1294","4,2318",c
"162,4989","132,3387","146,7258","3,8314","12,1736","11,924","136,3822","47,989","162,8601","10,1976","15,7271","4,2506","146,6151","139,5529","113,8695","10,9645","2,921","5,5707",c
"153,7041","125,568","136,4409","4,6989","13,6762","13,7014","133,8678","47,5597","154,1945","14,9838","18,9778","5,2042","138,9737","138,0282","114,3524","12,5005","3,1246","6,5504",c
"156,5413","134,8849","148,3954","4,7064","9,2947","9,3856","139,1618","36,4028","157,2684","18,2327","11,1265","4,9979","148,2393","137,3402","118,3402","8,499","2,2572","4,1754",c
"160,339","135,6288","147,314","3,5149","10,3166","9,9659","136,215","39,9726","160,7246","10,3974","12,614","4,0852","148,8559","137,2995","116,475","9,2992","2,2765","4,435",c
"159,7017","124,4172","135,8252","4,9852","13,1353","13,5733","131,3049","56,5972","159,7497","6,351","17,6963","5,0037","138,6281","139,795","110,6432","12,122","2,7825","6,0039",c
"144,1761","111,8796","125,1469","4,5739","12,0968","11,3759","133,8773","57,4941","144,2814","6,2396","17,7297","4,6918","126,1227","139,9741","112,2431","11,1047","2,9466","5,4214",c
"157,8958","120,2984","131,1954","4,8985","13,1164","12,8695","129,7596","61,0156","157,8977","4,3213","17,0265","4,8992","134,6476","140,3121","109,2756","12,0661","2,7158","5,4818",c
"163,4895","140,0888","152,4594","4,5849","13,7881","13,769","140,1065","38,412","164,7058","15,4014","16,802","5,3449","153,2189","137,3098","117,2448","12,4808","2,9853","6,3627",c
"156,7548","123,3704","133,3237","4,8151","11,926","11,298","130,0016","54,6306","156,8097","6,2876","15,2994","4,8783","137,107","138,8323","111,4274","10,7957","2,7739","5,0059",c
"160,269","131,2716","140,7876","3,4364","10,4408","9,8506","130,8582","46,3475","160,3309","5,8664","13,861","3,4866","144,4447","137,5972","113,8682","9,3565","2,5688","4,5323",c
"157,9816","130,8228","143,7939","4,1197","8,85","9,9557","136,0446","44,2134","158,1967","7,6763","10,9531","4,3731","144,6284","138,3019","115,2652","8,3423","1,766","3,9722",c
"155,4609","130,9041","142,9052","3,2388","8,0023","8,2718","135,3202","40,7345","155,7481","13,1548","10,8525","3,5664","144,2484","137,4161","116,5185","7,2921","1,9248","3,8901",c
"158,5475","128,1245","141,2279","4,1164","9,4241","9,189","134,1767","49,2246","158,7072","7,6475","12,3901","4,2608","142,2171","139,2011","113,5517","8,5341","2,2888","4,3582",c
"148,9883","117,0905","129,1552","4,4606","10,1638","11,1415","132,9128","54,9991","149,2147","8,7543","14,1573","4,7026","131,1589","139,285","112,3582","9,6349","2,1542","4,8685",c
"155,871","127,5413","143,0593","4,5242","10,7567","9,9026","138,2647","47,1758","156,3671","11,0907","13,5084","4,9261","141,9776","139,5902","114,9589","9,6788","2,5435","4,871",c
"157,2209","134,3563","147,2963","4,4007","10,0087","9,7246","138,932","37,9247","157,733","8,7904","12,0125","5,0313","147,7037","137,3884","117,6262","9,0683","2,5315","4,1172",c
"161,101","128,8874","140,4014","4,0577","8,9046","9,16","131,7623","51,1014","161,146","5,6758","12,0825","4,0731","142,7848","139,0129","112,4027","8,1484","2,2123","4,1823",c
"159,6957","134,9087","140,732","3,9306","8,52","8,016","127,3351","39,6866","159,703","5,7683","11,5612","3,9284","146,7985","135,314","115,6292","7,6763","2,3094","3,7254",c
"155,3436","128,6877","144,2023","4,494","10,5905","10,2354","139,3118","45,151","156,2524","13,9903","13,1071","5,3483","143,0113","139,1895","115,8874","9,5745","2,5601","5,0869",c
"151,8995","122,3922","136,6013","4,9107","10,4247","10,2495","134,8957","50,321","152,3525","14,6454",13,"5,3505","136,7056","139,4443","114,0359","9,5777","2,3823","4,712",c
"156,6995","117,5917","127,4052","5,1549","11,8865","13,0592","128,417","63,8058","156,7251","5,3715","16,4077","5,1715","131,8651","140,28","108,2897","11,2104","2,6625","5,561",c
"163,8363","129,742","139,5675","4,6166","10,7098","9,7784","128,9154","53,2466","163,8553","5,2225","14,1673","4,6459","143,4547","138,923","111,2304","9,4882","3,0532","4,7549",c
"158,9574","126,2801","126,0228","5,5763","13,6308","17,3608","121,1192","57,2276","158,9978","9,7573","21,0129","5,5727","137,7281","135,358","110,4699","13,1189","3,2958","7,0709",c
"164,7135","139,2736","137,612","4,1592","9,1708","11,0136","118,6785","43,0543","164,7135","3,9024","13,2861","4,1592","149,5898","132,8792","114,3121","8,7931","1,6612","4,1857",c
"162,265","140,0919","156,9869","4,813","8,7491","8,4902","143,3988","36,3073","163,2817","15,4014","9,0547","5,6714","154,1172","138,5385","118,6296","7,9488","2,0553","3,7409",c
"161,9062","137,4134","151,9934","4,9314","9,8921","9,4634","138,91","39,0353","162,1976","12,177","12,7217","5,2884","151,197","138,255","117,0436","8,8128","2,8541","4,3143",c
"156,8584","131,7465","142,6839","4,1227","10,0712","9,5319","133,1727","41,4312","157,1745","15,4191","12,3863","4,5071","144,8972","137,1558","116,0827","9,0317","2,5861","4,3141",c
"155,6519","116,134","128,7428","6,7048","15,0884","16,4994","131,0768","65,5037","155,9104","10,4021","19,034","6,7498","130,9347","141,4","108,4067","14,3672","2,7358","6,6352",c
"160,9757","130,6264","149,5293","4,8363","11,1552","11,6168","140,499","49,0944","161,6116","7,8825","13,2904","5,5626","145,9508","141,1355","114,472","10,3322","2,2497","4,9127",c
"155,0862","123,9617","140,3722","5,446","12,2976","11,6183","138,204","52,4402","155,8804","9,6599","15,3108","6,2189","138,878","140,5695","113,5452","11,1253","2,9761","5,5916",c
"163,3966","143,5176","156,1128","3,7645","8,9982","7,4995","138,3014","31,9189","163,9108","19,7191","10,3579","4,3863","156,3736","136,5453","119,2291","7,7564","2,5488","3,7829",c
"155,1931","129,066","137,2043","4,7439","11,0885","11,0403","130,7767","43,6094","155,4538","11,8222","14,5197","4,9226","141,6911","136,5255","115,1226","10,0322","2,8296","5,0579",c
"162,6665","137,3075","150,9558","5,9063","15,5714","15,4395","136,3556","41,9841","164,0176","25,5256","17,9361","6,8135","150,927","138,2135","116,3477","14,1599","3,2787","6,809",c
"160,7642","136,8018","150,976","6,509","12,5026","11,5854","135,0323","40,3255","162,1378","27,6738","14,5396","6,7978","150,4299","138,0721","117,1988","11,2059","3,0838","6,0936",c
"150,9929","123,291","135,0582","4,1589","8,9722","9,2","133,7199","46,939","151,0275","5,9107","11,8656","4,1873","136,8775","138,1312","114,732","8,3131","2,1757","3,8102",c
"157,4231","136,6083","141,4089","6,1642","11,133","13,0873","128,0848","34,6389","157,9089","18,7927","12,2584","6,7292","147,9505","134,124","117,5071","10,7173","1,61","4,701",c
"158,8104","131,378","136,6044","4,483","10,1639","12,4925","127,3291","44,567","159,0544","13,0685","13,6674","4,7298","143,4709","135,8093","114,0835","9,7303","1,9894","5,054",c
"158,8159","135,2436","140,0234","4,3662","9,5446","12,3526","127,6301","39,243","159,3419","16,0086","11,9066","4,8054","146,8222","134,6975","116,0989","9,2456","2,0282","4,6048",c
"153,0305","118,2413","117,4479","5,8081","12,7449","16,0274","121,0171","62,9366","153,0969","8,0197","21,0162","5,8465","129,7544","135,8166","109,1438","12,3444","2,7152","6,5065",c
"155,4887","120,94","125,8949","7,326","15,3946","19,5381","127,4771","58,9342","156,0426","12,4748","21,3156","7,6037","133,6725","137,6879","110,0799","14,9516","2,725","7,7711",c
"158,5557","125,461","137,83","4,0974","11,1885","11,5973","132,8848","53,5981","158,7129","7,5511","14,7594","4,3672","139,6605","139,6029","111,9629","10,2537","2,6903","5,0679",c
"147,5412","118,5215","118,9642","4,9094","11,5312","14,0563","121,5078","53,2467","147,5514","6,5537","16,4802","4,9234","129,736","134,7007","112,3847","11,3048","2,1794","4,9281",c
"157,2197","134,6968","136,3037","5,0981","12,006","14,1149","123,8111","38,8047","157,2271","8,5333","16,7421","5,1029","145,5094","133,4279","116,2247","11,391","2,4824","5,3251",c
"154,1941","122,9116","118,4719","4,8559","10,7525","14,526","117,5395","60,8795","154,2236","8,8986","20,1867","4,8364","133,3635","133,6339","110,6647","10,5322","2,3386","5,776",c
"159,0383","127,8932","130,0981","4,2856","12,1354","15,2018","123,187","51,7778","159,2833","16,1812","18,297","4,4978","139,6994","135,7321","111,708","11,6115","2,3872","6,5151",c
"156,7814","123,0806","124,1474","6,6847","14,9566","19,0299","121,5187","59,5085","157,2894","19,3979","22,9314","6,8611","134,9199","136,1812","110,1091","14,3977","3,0374","7,8293",c
"158,446","130,5205","136,7384","6,6945","14,4957","17,4644","129,0521","46,7836","159,1127","17,6406","19,6514","7,0236","142,8517","136,3642","113,9346","13,7945","2,7917","7,4208",c
"153,2154","126,5743","125,2743","6,8344","14,354","17,7762","118,6794","50,3007","153,5272","18,2164","22,7155","6,9677","137,2147","133,5809","113,5074","13,9034","2,6697","7,0583",c
"156,7537","124,5504","125,4766","6,5638","13,462","17,8856","123,0997","56,4876","156,9008","9,4971","20,0216","6,6402","136,1614","135,6551","110,8711","13,3891","2,1037","6,1488",c
"161,5689","130,0258","132,3281","6,7421","13,707","18,4719","125,0901","53,9132","161,9395","12,8444","19,8053","6,7779","141,8673","135,8774","111,5196","13,4813","2,8302","6,8958",c
"146,6495","100,367","93,2683","10,3278","18,6015","27,1417","118,1225","98,0261","146,9909","13,803","32,9646","10,6068","111,5088","137,7856","101,7005","19,2605","2,9226","9,0565",c
"152,1915","127,5486","133,7107","6,863","12,388","15,2856","128,4556","42,5096","152,5978","16,4544","14,3812","7,3397","139,6026","135,5342","115,605","12,1254","2,4341","5,1014",c
"155,7954","126,3079","136,4241","7,1275","14,9498","17,1898","128,603","50,7612","157,1896","24,1789","17,9288","7,9408","139,6714","138,1205","113,5481","14,1814","2,8814","7,4544",c
"155,4724","130,8194","140,4252","5,9506","10,4821","12,4191","133,3358","41,6958","156,3197","15,1792","12,7319","6,5254","143,5847","136,6884","116,1055","9,9949","2,2913","5,0522",c
"150,0791","114,3546","113,4601","5,1218","12,8059","16,9964","121,1724","65,7454","150,1258","8,2999","21,6326","5,1739","125,8779","136,1086","108,5104","12,7017","2,5279","6,6422",c
"154,1228","122,027","125,1975","3,9762","10,5388","11,6871","123,3646","53,7553","154,1296","6,3726","15,0641","3,9773","134,1243","136,3107","111,1864","9,8596","2,5588","5,0568",c
"155,0444","130,0811","134,8017","5,9466","10,8211","13,8012","126,0637","42,19","155,4874","18,0983","12,6155","6,234","141,8068","135,0644","115,2692","10,6896","1,511","4,8715",c
"156,9886","127,8735","131,4712","5,0511","11,8055","15,767","125,527","48,6601","157,3423","14,7362","14,7052","5,4987","139,8118","135,6882","112,9077","11,7071","1,7451","5,4856",c
"160,1955","141,4022","145,2844","4,8667","9,1513","11,6892","126,3025","31,2201","160,8343","20,9011","11,0851","5,3098","152,312","133,2883","118,5775","8,8833","1,5651","4,5393",c
"154,6287","120,899","124,7358","5,6796","12,0279","15,017","125,157","57,0785","154,9316","11,5065","15,7904","5,8759","133,304","137,0039","110,3904","11,7009","2,2935","5,8893",c
"157,5777","128,7862","134,6809","4,6774","14,6557","17,357","124,2111","48,4607","158,6469","28,7237","20,2886","5,5069","141,1524","136,5228","113,3717","13,7836","2,8234","8,1778",c
"157,0927","131,6126","137,1175","6,7311","14,9937","18,4745","126,8135","43,6785","158,0222","24,8231","20,0693","7,1376","143,5513","135,5904","115,1066","14,4184","2,5381","7,8034",c
"153,6986","132,1386","131,6519","5,4761","13,1821","17,1078","122,3963","41,3761","154,1495","20,1332","20,0696","5,8118","142,4558","132,5737","116,4267","12,8903","2,5142","6,3155",c
"148,6755","114,5563","110,2226","7,0307","12,9753","16,8779","117,7033","68,7774","148,6897","7,4011","20,0465","7,0325","125,2069","134,5132","108,9604","13,0068","2,8501","5,5302",c
"145,3503","125,7297","128,3237","4,8929","11,0301","14,4797","124,5051","37,3176","145,9673","24,0131","15,1594","5,701","136,5529","133,189","117,7456","10,9214","2,1227","5,3079",c
"153,1447","113,1798","111,807","8,3358","16,031","21,0908","121,4497","73,7226","153,5164","10,8174","24,1316","8,4678","125,0425","137,1626","106,1959","15,9897","2,3965","7,6179",c
"159,7338","136,4327","142,0979","4,5669","13,6199","17,565","127,0275","39,8051","161,1231","29,1973","16,4085","6,1298","148,1763","135,0452","116,3565","13,1735","2,0576","6,9141",c
"158,0775","120,2253","121,2262","6,5003","14,566","19,2082","122,7478","65,197","158,5253","13,8503","22,9433","6,7014","132,4651","137,2294","107,8249","14,1391","2,9649","8,0722",c
"156,0924","127,363","132,2853","7,6839","17,2265","20,7409","128,9674","49,4457","156,8598","18,7612","23,4014","8,0226","139,481","136,2348","113,2283","16,6133","3,0528","8,3574",c
"154,8507","122,2169","129,1112","5,0848","12,2936","14,9036","128,0091","54,5263","155,201","12,1295","17,1328","5,3738","135,1797","137,7432","111,3739","11,765","2,4799","6,3366",c
"154,6638","133,8932","135,559","6,1328","14,7614","17,3953","116,7084","38,0108","155,3937","32,05","19,8688","6,5935","144,5565","133,1489","117,1268","14,0725","2,7527","6,9232",c
"148,1113","119,2201","113,4875","5,8458","12,4375","18,0467","116,6712","62,1217","148,3496","16,1205","24,2756","6,0938","129,1426","132,7336","111,6467","12,6433","2,471","6,587",c
"150,35","107,8091","101,6956","8,8696","16,8468","23,8418","118,0512","86,0717","150,5477","13,2446","30,204","8,9377","118,8896","136,6095","104,0836","17,2274","2,2193","8,0301",c
"158,185","127,4277","128,5877","4,5587","12,0895","14,818","121,842","51,5196","158,3276","13,3034","17,2467","4,6485","139,0135","135,2665","111,7521","11,5963","2,2634","5,9034",c
"152,1383","117,8657","112,8597","5,4758","13,4791","16,7033","117,348","67,0788","152,1383","5,1992","22,5967","5,4758","128,4188","134,3373","108,851","13,2108","2,1517","6,312",c
"157,2351","128,7261","127,7099","4,5486","11,7207","14,378","120,8025","50,8361","157,2756","9,3803","20,0764","4,5381","139,6202","134,0278","112,6433","11,1073","2,5289","6,2338",c
"162,3342","138,955","152,6481","3,5476","8,9858","8,7621","137,9183","37,8256","163,0799","18,0067","10,9922","4,5894","152,4194","137,6715","117,5086","8,0281","2,1755","4,3699",c
"162,1907","139,2156","148,1769","3,4434","8,5076","10,0293","133,2648","36,9193","162,7308","14,3965","10,5078","4,2415","151,5898","135,9845","117,0276","7,9887","1,5994","4,2833",c
"163,5832","143,0722","150,8063","4,0952","10,1118","12,126","133,3518","33,8173","164,8167","25,372","14,5717","4,3477","154,8988","135,0492","118,1712","9,3563","2,1629","6,1277",c
"149,5957","128,282","133,652","5,0174","10,7296","12,0138","127,8177","37,3694","150,0483","20,7088","13,5718","5,545","139,8391","134,4917","117,2942","10,1718","2,019","4,94",c
"156,2943","131,4806","137,0389","5,7271","11,0475","12,745","125,4893","41,5223","156,8683","23,8131","16,0664","6,0445","143,4028","135,3622","115,5061","10,3553","2,5992","6,166",c
"156,6546","132,8482","135,729","5,5946","14,8051","16,7284","116,0466","42,4156","157,7502","32,6987","19,6915","6,485","144,0684","134,2753","115,6854","13,7498","3,2911","7,8796",c
"162,607","137,3886","142,6353","6,3947","14,6558","17,1453","120,392","42,5","164,1189","35,1181","18,6376","7,0228","149,1771","135,3657","115,3109","13,663","2,672","7,9521",c
"150,9945","130,9209","135,2369","6,102","16,8065","19,1235","112,2833","39,124","153,1905","44,4059","21,9176","6,982","142,1205","134,0539","117,7843","15,8326","3,2637","9,0468",c
"155,6019","138,5213","146,2722","10,3714","19,2011","21,0547","105,8415","38,0646","160,4782","54,6494","18,9795","11,582","150,1022","134,5798","119,8851","17,9305","3,5856","9,8268",c
"160,0622","134,0988","136,8513","5,794","11,3715","13,4108","121,2625","42,7353","160,5849","22,7909","16,4363","5,9601","145,5","134,6249","114,566","10,69","2,3323","6,4661",c
"160,3228","134,8061","137,7192","6,009","12,1086","14,3049","122,1595","42,5645","160,9618","25,3219","18,3321","5,9935","146,2011","134,6017","114,8357","11,3302","2,4924","6,9802",c
"158,292","134,524","139,4656","8,1519","19,9731","21,3034","111,0694","44,4088","160,7835","42,3822","22,2315","9,38","146,1444","135,1074","115,9322","18,3782","4,0907","10,2424",c
"158,0885","133,4294","137,374","6,367","14,255","15,3976","118,3426","42,5261","159,0879","32,4153","18,9831","6,4279","144,949","134,8268","115,3909","13,0888","3,3597","7,6058",c
"156,6197","140,5166","142,2514","6,1889","16,8868","20,8615","98,3656","35,686","159,8317","49,2618","21,5462","8,1418","150,7212","132,223","119,6675","16,0604","2,9881","9,3351",c
"157,8473","134,2448","137,4615","6,9619","20,1308","23,3085","105,3908","44,8259","160,3481","45,0871","25,9844","8,3173","145,4778","134,5637","115,7945","18,8703","4,0581","10,94",c
"165,3595","141,542","149,0296","7,8658","20,2523","22,0081","114,6371","42,4614","168,343","46,7012","23,4012","9,0507","153,5675","135,9325","116,3423","18,5617","4,0972","10,7119",c
"156,5707","135,44","141,6633","7,359","19,0268","19,1245","120,7924","37,6079","157,8956","38,6262","23,3181","8,1883","147,05","134,8612","117,5019","17,4798","4,2674","8,47",c
